Server,Percentage of resolution,increass FOV of camera,Duplication,objects in the Scene,Vertices in the Scene,Edges in the Scene,Faces in the Scene,Lights,Point lights,Sun lights,Spot lights,Hemi lights,Area lights,Materials in the Scene,Texeures in the Scene,Objects in Camera view,Vertices in Camera view,Edges in Camera view,Faces in Camera view,Materials in Camera view,Textures in Camera view,Area of face,Width,Height,pixels,Coverage,Render time
0,80,0.122,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,320,132314,262264,130047,1,3,9428.481472,640,480,1228800,0.709725228,26.81981
0,80,0.122,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,630,196441,391334,194842,1,3,6290.058928,640,480,1228800,0.568491864,130.47692
0,80,0.122,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1272,410950,818932,407853,1,3,8514.278773,640,480,1228800,0.544283304,470.492328
0,80,0.244,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,39116,77375,38292,1,3,4566.798962,640,480,1228800,0.517489129,10.770694
0,80,0.244,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,64613,128231,63633,1,3,1178.378829,640,480,1228800,0.422393027,25.320381
0,80,0.244,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,320,130410,258592,128264,1,3,4259.973693,640,480,1228800,0.699836213,47.510734
0,80,0.244,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,641,270340,536044,265831,1,3,5495.650465,640,480,1228800,0.746363614,120.82915
0,80,0.244,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1280,506258,1004848,498738,1,3,8003.031152,640,480,1228800,0.804089615,335.182687
0,80,0.366,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,35157,69667,34539,1,3,1033.577052,640,480,1228800,0.519515757,12.927299
0,80,0.366,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,70777,140373,69614,1,3,566.9944942,640,480,1228800,0.549189486,40.497067
0,80,0.366,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,321,138029,273424,135477,1,3,6765.63089,640,480,1228800,0.66958053,32.500223
0,80,0.366,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,641,273536,542390,268945,1,3,3723.064838,640,480,1228800,0.739598249,140.057242
0,80,0.366,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1273,510034,1010884,501152,1,3,84979.40337,640,480,1228800,0.885374164,57.739987
0,80,0.488,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,34929,69255,34334,1,3,317.2313929,640,480,1228800,0.509826714,19.654156
0,80,0.488,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,76187,150813,74684,1,3,7968.336566,640,480,1228800,0.672184103,16.297238
0,80,0.488,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,319,121382,240516,119220,1,3,6530.022107,640,480,1228800,0.801236486,36.146315
0,80,0.488,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,641,278017,551019,273158,1,3,17231.5676,640,480,1228800,0.794666876,67.321831
0,80,0.488,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1263,432834,858214,425600,1,3,29784.24901,640,480,1228800,0.649125399,71.011384
0,100,0,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,26475,52498,26049,1,3,296.5919454,800,600,1920000,0.500839489,26.073136
0,100,0,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,58016,115161,57181,1,3,3014.905954,800,600,1920000,0.703680007,34.724083
0,100,0,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,319,70321,139846,69618,1,3,6201.134469,800,600,1920000,0.710195888,30.384222
0,100,0,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,636,205936,410370,204523,1,3,5624.286069,800,600,1920000,0.825515356,96.678546
0,100,0,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1279,410719,816492,406011,1,3,27091.23915,800,600,1920000,0.913677581,194.075107
0,100,0.122,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,31893,63179,31306,1,3,1274.667101,800,600,1920000,0.460372044,15.61502
0,100,0.122,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,74165,146802,72684,1,3,5997.466684,800,600,1920000,0.439070618,16.770166
0,100,0.122,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,321,139116,275864,136768,1,3,6220.752809,800,600,1920000,0.647051452,42.078703
0,100,0.122,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,641,279333,553916,274704,1,3,5120.481832,800,600,1920000,0.626929557,217.811041
0,100,0.122,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1281,515512,1022785,507484,1,3,11329.03513,800,600,1920000,0.7202673,411.586907
0,100,0.244,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,36958,73189,36248,1,3,787.727523,800,600,1920000,0.485189202,15.100797
0,100,0.244,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,75818,150169,74391,1,3,1841.200171,800,600,1920000,0.652545217,47.311019
0,100,0.244,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,321,145417,287907,142587,1,3,13371.8392,800,600,1920000,0.648890564,32.726772
0,100,0.244,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,636,217581,432622,215122,1,3,5296.603289,800,600,1920000,0.64695925,199.318994
