File,Server,Render engine,Percentage of resolution,increass FOV of camera,Duplication,objects in the Scene,Vertices in the Scene,Edges in the Scene,Faces in the Scene,Lights,Point lights,Sun lights,Spot lights,Hemi lights,Area lights,Texeures of lights,Materials in the Scene,Texeures in the Scene,Objects in Camera view,Vertices in Camera view,Edges in Camera view,Faces in Camera view,Materials in Camera view,Textures in Camera view,Area of face,Width,Height,pixels,Render time,Coverage
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.122,7,643,298112,589696,291840,384,256,0,0,0,128,0,1,3,641,262607,521009,258511,1,3,2622.377575048189,320.0,240.0,307200.0,91.314822,0.6589587238971791
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.122,8,1283,596224,1179392,583680,768,512,0,0,0,256,0,1,3,1281,567140,1124860,557925,1,3,6636.78795244502,320.0,240.0,307200.0,148.726303,0.7667584342079455
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.244,4,83,37264,73712,36480,48,32,0,0,0,16,0,1,3,79,25168,49832,24685,1,3,1053.5226266436111,320.0,240.0,307200.0,2.896616,0.3389582029296051
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.244,5,163,74528,147424,72960,96,64,0,0,0,32,0,1,3,161,68553,135767,67265,1,3,2244.918060163749,320.0,240.0,307200.0,9.131168,0.5151551997253132
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.244,6,323,149056,294848,145920,192,128,0,0,0,64,0,1,3,320,126728,251113,124469,1,3,18744.73483898185,320.0,240.0,307200.0,8.453963,0.60900716631043
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.244,7,643,298112,589696,291840,384,256,0,0,0,128,0,1,3,641,292108,578079,286198,1,3,68140.62605514964,320.0,240.0,307200.0,11.910922,0.8628970831072971
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.244,8,1283,596224,1179392,583680,768,512,0,0,0,256,0,1,3,1277,458115,912396,454254,1,3,6487.55393576766,320.0,240.0,307200.0,141.378837,0.5869167946308991
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.366,4,83,37264,73712,36480,48,32,0,0,0,16,0,1,3,81,39593,78319,38760,1,3,3464.6462188894875,320.0,240.0,307200.0,2.834363,0.4500255062403859
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.366,5,163,74528,147424,72960,96,64,0,0,0,32,0,1,3,158,54654,108417,53798,1,3,1442.4568815111884,320.0,240.0,307200.0,8.446993,0.34806043245331736
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.366,7,643,298112,589696,291840,384,256,0,0,0,128,0,1,3,641,235305,467687,232396,1,3,6244.517816346439,320.0,240.0,307200.0,59.602815,0.6837406572218312
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.366,8,1283,596224,1179392,583680,768,512,0,0,0,256,0,1,3,1277,496790,986067,489394,1,3,42589.626936735265,320.0,240.0,307200.0,29.39615,0.7252678868005773
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.488,4,83,37264,73712,36480,48,32,0,0,0,16,0,1,3,81,39593,78319,38760,1,3,982.4750149554429,320.0,240.0,307200.0,5.098536,0.32514791317540653
