File,Server,Render engine,Percentage of resolution,increass FOV of camera,Duplication,objects in the Scene,Vertices in the Scene,Edges in the Scene,Faces in the Scene,Lights,Point lights,Sun lights,Spot lights,Hemi lights,Area lights,Texeures of lights,Materials in the Scene,Texeures in the Scene,Objects in Camera view,Vertices in Camera view,Edges in Camera view,Faces in Camera view,Materials in Camera view,Textures in Camera view,Area of face,Width,Height,pixels,Render time,Coverage
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.366,2,67,95476,181816,88508,0,0,0,0,0,0,0,11,10,65,95476,181816,88508,11,10,2926.0485396267454,384.0,216.0,331776.0,0.238823,0.2037474069788139
Bambo_House_1,nmsl5,CYCLES,20.0,0.366,2,67,95476,181816,88508,0,0,0,0,0,0,0,11,10,65,94067,180190,88105,11,10,3066.6345608238857,384.0,216.0,331776.0,35.860815,0.20453405139425399
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.366,3,131,190952,363632,177016,0,0,0,0,0,0,0,11,10,129,157945,320530,164166,11,10,7015.260401955754,384.0,216.0,331776.0,0.445656,0.37214733525830884
Bambo_House_1,nmsl5,CYCLES,20.0,0.366,3,131,190952,363632,177016,0,0,0,0,0,0,0,11,10,129,189628,361758,176330,11,10,11289.50630601936,384.0,216.0,331776.0,52.22089,0.5306272063498602
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.366,4,259,381904,727264,354032,0,0,0,0,0,0,0,11,10,257,369323,709324,348120,11,10,23234.407018388014,384.0,216.0,331776.0,1.025762,0.5680964182307955
Bambo_House_1,nmsl5,CYCLES,20.0,0.366,4,259,381904,727264,354032,0,0,0,0,0,0,0,11,10,257,374850,717898,350937,11,10,14339.72121509811,384.0,216.0,331776.0,91.15704,0.659923303738918
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.488,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,384.0,216.0,331776.0,0.065838,0.06648275331682985
Bambo_House_1,nmsl5,CYCLES,20.0,0.488,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,384.0,216.0,331776.0,10.354017,0.06648275331682985
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.488,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,2260.898113127284,384.0,216.0,331776.0,0.122028,0.10618755467909495
Bambo_House_1,nmsl5,CYCLES,20.0,0.488,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,1934.1112190628858,384.0,216.0,331776.0,13.07703,0.16196543474719508
